year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,saleday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA63FG570727,CA,48.0,10357,Silver,Gray,kia motors america  inc,20700,20500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA6XFG560888,CA,5.0,14176,White,Black,kia motors america  inc,20600,21250,2014-12-16,Tuesday
2014,Bmw,6 Series Gran Coupe,650i,Sedan,automatic,WBA6B2C53ED128866,CA,29.0,37752,White,Black,financial services remarketing (lease),62000,58000,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA68FG570979,CA,44.0,9161,Silver,Black,kia motors america  inc,20800,22250,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA65FG571619,CA,5.0,11001,White,Black,kia motors america  inc,20700,22500,2014-12-16,Tuesday
2014,Bmw,4 Series,428i SULEV,Coupe,automatic,WBA3N7C55EF719079,CA,37.0,18152,White,Black,street smartz auto sales corporation,31000,39750,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA64FG570963,CA,46.0,13452,Silver,Black,kia motors america  inc,20600,21500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA60FG563086,CA,5.0,16348,Gray,Gray,kia motors america  inc,20500,20500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA67FG567068,CA,49.0,9552,Burgundy,Beige,kia motors america  inc,20800,21000,2014-12-16,Tuesday
2014,Chevrolet,Camaro,LS,Coupe,manual,2G1FE1E34E9190976,CA,44.0,7924,White,Black,tdaf remarketing,17850,18500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA64FG570672,CA,49.0,13711,White,Black,kia motors america  inc,20600,21750,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA60FG570829,CA,5.0,10615,Burgundy,Black,kia motors america  inc,20700,20500,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA61FG560973,CA,48.0,13031,Purple,Black,kia motors america  inc,20600,20750,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKTCA61FG566806,CA,48.0,16611,Gray,Black,kia motors america  inc,20500,20750,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE4DH327134,CA,35.0,36307,Gray,Gray,enterprise vehicle exchange/orange,11500,11700,2014-12-16,Tuesday
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,JN1CV6APXDM713003,CA,25.0,10929,White,Gray,nissan infiniti lt,24700,21000,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE0DH335103,CA,35.0,37759,Beige,Beige,avis corporation,11400,11800,2014-12-16,Tuesday
2013,Hyundai,Accent,GLS,Sedan,automatic,KMHCT4AE3DU421257,CA,36.0,41841,Gray,Beige,dtg operations inc,9425,9400,2014-12-16,Tuesday
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,JN1CV6AP3DM711108,CA,19.0,18420,Gray,Beige,nissan infiniti lt,23700,18250,2014-12-16,Tuesday
2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,JN1CV6EK1DM921866,CA,26.0,12735,Black,Black,nissan infiniti lt,26300,22500,2014-12-16,Tuesday
2013,Hyundai,Sonata,GLS,Sedan,automatic,5NPEB4AC9DH760050,CA,38.0,34745,White,Tan,avis corporation,12250,12700,2014-12-16,Tuesday
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,JN1CV6AP5DM713782,CA,27.0,26792,Gray,Gray,nissan infiniti lt,22600,18000,2014-12-16,Tuesday
